,Reward,Running Drop Rate,Running Energy,Running Latency
0,1,0.0,87.5,0
1,2,0.0,175.0,5
2,3,0.0,262.5,10
3,4,0.0,350.0,15
4,5,0.0,437.5,20
5,6,0.0,525.0,25
6,7,0.0,647.5,30
7,8,0.0,648.874,37
8,9,0.0,650.5915,41
9,10,0.0,652.6525,46
10,11,0.0,655.057,52
11,12,0.0,742.557,59
12,13,0.0,917.557,64
13,14,0.0,918.931,74
14,15,0.0,1093.931,78
15,16,0.0,1096.679,88
16,17,0.0,1219.179,96
17,18,0.0,1394.179,103
18,19,0.0,1395.553,113
19,20,0.0,1396.9270000000001,117
20,21,0.0,1398.3010000000002,121
21,22,0.0,1573.3010000000002,125
22,23,0.0,1678.3010000000002,135
23,24,0.0,1680.0185000000001,141
24,25,0.0,1785.0185000000001,146
25,26,0.0,1872.5185000000001,152
26,25,0.037037037037037035,2135.0185,157
27,26,0.03571428571428571,2137.4230000000002,172
28,27,0.034482758620689655,2259.9230000000002,179
29,28,0.03333333333333333,2262.3275000000003,186
30,29,0.03225806451612903,2472.3275000000003,193
31,30,0.03125,2577.3275000000003,205
32,31,0.030303030303030304,2580.0755000000004,211
33,32,0.029411764705882353,2582.4800000000005,219
34,33,0.02857142857142857,2585.2280000000005,226
35,34,0.027777777777777776,2586.6020000000003,234
36,35,0.02702702702702703,2674.1020000000003,238
37,36,0.02631578947368421,2779.1020000000003,243
38,37,0.02564102564102564,2781.5065000000004,249
39,38,0.025,2869.0065000000004,256
40,39,0.024390243902439025,2870.7240000000006,261
41,40,0.023809523809523808,2958.2240000000006,266
42,41,0.023255813953488372,2959.5980000000004,271
43,42,0.022727272727272728,2963.3765000000003,275
44,43,0.022222222222222223,2965.7810000000004,286
45,44,0.021739130434782608,2968.5290000000005,293
46,45,0.02127659574468085,3161.0290000000005,301
47,46,0.020833333333333332,3164.4640000000004,312
48,47,0.02040816326530612,3269.4640000000004,322
49,48,0.02,3271.1815000000006,328
50,49,0.0196078431372549,3358.6815000000006,333
51,50,0.019230769230769232,3446.1815000000006,338
52,51,0.018867924528301886,3621.1815000000006,343
53,52,0.018518518518518517,3708.6815000000006,353
54,53,0.01818181818181818,3711.0860000000007,358
55,54,0.017857142857142856,3903.5860000000007,365
56,55,0.017543859649122806,4008.5860000000007,376
57,56,0.017241379310344827,4009.9600000000005,382
58,57,0.01694915254237288,4012.7080000000005,386
59,58,0.016666666666666666,4014.7690000000007,394
60,59,0.01639344262295082,4102.269,400
61,60,0.016129032258064516,4104.6735,405
62,61,0.015873015873015872,4192.1735,412
63,62,0.015625,4193.5475,417
64,63,0.015384615384615385,4196.295499999999,421
65,64,0.015151515151515152,4301.295499999999,429
66,65,0.014925373134328358,4302.669499999999,435
67,66,0.014705882352941176,4304.386999999999,439
68,67,0.014492753623188406,4306.791499999998,444
69,68,0.014285714285714285,4394.291499999998,451
70,69,0.014084507042253521,4516.791499999998,456
71,70,0.013888888888888888,4709.291499999998,463
72,71,0.0136986301369863,4796.791499999998,474
73,72,0.013513513513513514,4884.291499999998,479
74,73,0.013333333333333334,5006.791499999998,484
75,74,0.013157894736842105,5008.165499999998,491
76,75,0.012987012987012988,5183.165499999998,495
77,76,0.01282051282051282,5184.539499999998,505
78,77,0.012658227848101266,5187.287499999998,509
79,78,0.0125,5362.287499999998,517
80,79,0.012345679012345678,5363.661499999997,527
81,80,0.012195121951219513,5451.161499999997,531
82,81,0.012048192771084338,5453.909499999997,536
83,82,0.011904761904761904,5558.909499999997,544
84,83,0.011764705882352941,5560.283499999997,550
85,84,0.011627906976744186,5563.031499999996,554
86,85,0.011494252873563218,5565.092499999996,562
87,86,0.011363636363636364,5652.592499999996,568
88,87,0.011235955056179775,5740.092499999996,573
89,88,0.011111111111111112,5742.496999999996,578
90,89,0.01098901098901099,5744.2144999999955,585
91,90,0.010869565217391304,5936.7144999999955,590
92,91,0.010752688172043012,5940.149499999996,601
93,92,0.010638297872340425,6045.149499999996,611
94,93,0.010526315789473684,6046.523499999996,617
95,94,0.010416666666666666,6048.240999999995,621
96,95,0.010309278350515464,6049.614999999995,626
97,96,0.01020408163265306,6154.614999999995,630
98,97,0.010101010101010102,6259.614999999995,636
99,98,0.01,6347.114999999995,642
100,99,0.009900990099009901,6434.614999999995,647
101,100,0.00980392156862745,6522.114999999995,652
102,101,0.009708737864077669,6523.488999999995,657
103,102,0.009615384615384616,6525.206499999995,661
104,103,0.009523809523809525,6630.206499999995,666
105,104,0.009433962264150943,6735.206499999995,672
106,105,0.009345794392523364,6736.580499999995,678
107,106,0.009259259259259259,6841.580499999995,682
108,107,0.009174311926605505,6843.297999999994,688
109,108,0.00909090909090909,6844.671999999994,693
110,109,0.009009009009009009,6949.671999999994,697
111,110,0.008928571428571428,6951.389499999994,703
112,111,0.008849557522123894,6952.763499999994,708
113,112,0.008771929824561403,7057.763499999994,712
114,113,0.008695652173913044,7059.137499999993,718
115,114,0.008620689655172414,7234.137499999993,722
116,115,0.008547008547008548,7235.854999999993,732
117,116,0.00847457627118644,7358.354999999993,737
118,117,0.008403361344537815,7445.854999999993,744
119,118,0.008333333333333333,7447.228999999993,749
120,119,0.008264462809917356,7449.633499999993,753
121,120,0.00819672131147541,7537.133499999993,760
122,121,0.008130081300813009,7642.133499999993,765
123,122,0.008064516129032258,7643.507499999992,771
124,123,0.008,7748.507499999992,775
125,124,0.007936507936507936,7750.224999999992,781
126,125,0.007874015748031496,7855.224999999992,786
127,126,0.0078125,7856.598999999992,792
128,127,0.007751937984496124,7944.098999999992,796
129,128,0.007692307692307693,7945.472999999992,801
130,129,0.007633587786259542,8137.972999999992,805
131,130,0.007575757575757576,8225.47299999999,816
132,131,0.007518796992481203,8226.84699999999,821
133,132,0.007462686567164179,8228.22099999999,825
134,133,0.007407407407407408,8229.938499999991,829
135,134,0.007352941176470588,8334.938499999991,834
136,135,0.0072992700729927005,8439.938499999991,840
137,136,0.007246376811594203,8442.342999999992,846
138,137,0.007194244604316547,8547.342999999992,853
139,138,0.007142857142857143,8549.060499999992,859
140,139,0.0070921985815602835,8654.060499999992,864
141,140,0.007042253521126761,8655.434499999992,870
142,141,0.006993006993006993,8760.434499999992,874
143,142,0.006944444444444444,8970.434499999992,880
144,143,0.006896551724137931,8971.808499999992,892
145,144,0.00684931506849315,8973.182499999992,896
146,145,0.006802721088435374,8974.556499999992,900
147,146,0.006756756756756757,8976.273999999992,904
