,Reward,Running Drop Rate,Running Energy,Running Latency
0,1,0.0,105.00000000000001,0
1,2,0.0,210.00000000000003,6
2,3,0.0,315.00000000000006,12
3,4,0.0,316.3740000000001,18
4,5,0.0,526.3740000000001,22
5,6,0.0,718.8740000000001,34
6,7,0.0,823.8740000000001,45
7,8,0.0,1103.8740000000003,51
8,9,0.0,1226.3740000000003,67
9,10,0.0,1331.3740000000003,74
10,11,0.0,1418.8740000000003,80
11,12,0.0,1506.3740000000003,85
12,11,0.07692307692307693,1838.8740000000003,90
13,12,0.07142857142857142,1926.3740000000003,109
14,13,0.06666666666666667,2136.3740000000003,114
15,14,0.0625,2346.3740000000003,126
16,15,0.058823529411764705,2451.3740000000003,138
17,16,0.05555555555555555,2643.8740000000003,144
18,15,0.10526315789473684,3011.3740000000003,155
19,14,0.15,3308.8740000000003,176
20,13,0.19047619047619047,3623.8740000000003,193
21,12,0.22727272727272727,3851.3740000000003,211
22,13,0.21739130434782608,4061.3740000000003,224
23,14,0.20833333333333334,4253.874000000001,236
24,15,0.2,4463.874000000001,247
25,16,0.19230769230769232,4743.874000000001,259
26,17,0.18518518518518517,4918.874000000001,275
27,18,0.17857142857142858,5006.374000000001,285
28,19,0.1724137931034483,5233.874000000001,290
29,20,0.16666666666666666,5461.374000000001,303
30,21,0.16129032258064516,5566.374000000001,316
31,20,0.1875,5881.374000000001,322
32,21,0.18181818181818182,6091.374000000001,340
33,22,0.17647058823529413,6266.374000000001,352
34,23,0.17142857142857143,6546.374000000001,362
35,22,0.19444444444444445,6861.374000000001,378
36,21,0.21621621621621623,7158.874000000001,396
37,22,0.21052631578947367,7368.874000000001,413
38,23,0.20512820512820512,7370.2480000000005,425
39,24,0.2,7457.7480000000005,429
40,25,0.1951219512195122,7545.2480000000005,434
41,24,0.21428571428571427,7877.7480000000005,439
42,25,0.20930232558139536,7879.122,458
43,26,0.20454545454545456,8089.122,462
44,27,0.2,8176.622,474
45,28,0.1956521739130435,8281.622000000001,479
46,29,0.19148936170212766,8474.122000000001,485
47,30,0.1875,8666.622000000001,496
48,31,0.1836734693877551,8754.122000000001,507
49,32,0.18,8964.122000000001,512
50,33,0.17647058823529413,9069.122000000001,524
51,32,0.19230769230769232,9349.122000000001,530
52,33,0.18867924528301888,9541.622000000001,546
53,34,0.18518518518518517,9629.122000000001,557
54,33,0.2,9944.122000000001,562
55,34,0.19642857142857142,10136.622000000001,580
56,33,0.21052631578947367,10469.122000000001,591
57,34,0.20689655172413793,10661.622000000001,610
58,35,0.2033898305084746,10836.622000000001,621
59,36,0.2,11029.122000000001,631
60,37,0.19672131147540983,11221.622000000001,642
61,38,0.1935483870967742,11414.122000000001,653
62,39,0.19047619047619047,11415.496000000001,664
63,38,0.203125,11695.496000000001,668
64,39,0.2,11905.496000000001,684
65,40,0.19696969696969696,12010.496000000001,696
66,39,0.208955223880597,12307.996000000001,702
67,40,0.20588235294117646,12482.996000000001,719
68,41,0.2028985507246377,12657.996000000001,729
